Index,  Heap Add,  LL Add,    STL Add
159,0.000002,0.000003,0.000003
160,0.000003,0.000004,0.000003
161,0.000003,0.000003,0.000005
162,0.000003,0.000004,0.000004
163,0.000002,0.000004,0.000003
164,0.000003,0.000004,0.000004
165,0.000004,0.000002,0.000005
166,0.000002,0.000004,0.000003
167,0.000007,0.000004,0.000004
168,0.000003,0.000003,0.000003
169,0.000003,0.000003,0.000004
170,0.000002,0.000004,0.000003
171,0.000002,0.000005,0.000003
172,0.000004,0.000003,0.000004
173,0.000003,0.000004,0.000003
174,0.000003,0.000004,0.000003
175,0.000003,0.000003,0.000005
176,0.000003,0.000003,0.000003
177,0.000002,0.000003,0.000003
178,0.000004,0.000003,0.000004
179,0.000002,0.000003,0.000003
180,0.000003,0.000005,0.000003
181,0.000003,0.000004,0.000003
182,0.000002,0.000004,0.000004
183,0.000003,0.000003,0.000004
184,0.000004,0.000003,0.000005
185,0.000003,0.000003,0.000004
186,0.000003,0.000003,0.000004
187,0.000002,0.000004,0.000003
188,0.000003,0.000003,0.000004
189,0.000003,0.000004,0.000004
190,0.000003,0.000002,0.000004
191,0.000003,0.000005,0.000003
192,0.000002,0.000014,0.000004
193,0.000002,0.000006,0.000003
194,0.000003,0.000004,0.000004
195,0.000003,0.000004,0.000003
196,0.000004,0.000003,0.000004
197,0.000003,0.000003,0.000004
198,0.000002,0.000003,0.000003
199,0.000003,0.000014,0.000003
200,0.000003,0.000003,0.000004
201,0.000002,0.000006,0.000003
202,0.000002,0.000005,0.000003
203,0.000002,0.000004,0.000004
204,0.000003,0.000003,0.000004
205,0.000002,0.000003,0.000003
206,0.000002,0.000003,0.000004
207,0.000003,0.000006,0.000003
208,0.000003,0.000005,0.000004
209,0.000002,0.000005,0.000003
210,0.000002,0.000004,0.000003
211,0.000003,0.000006,0.000003
212,0.000003,0.000003,0.000005
213,0.000003,0.000006,0.000003
214,0.000003,0.000006,0.000003
215,0.000004,0.000002,0.000005
216,0.000002,0.000005,0.000003
217,0.000003,0.000003,0.000005
218,0.000008,0.000005,0.000003
219,0.000002,0.000004,0.000004
220,0.000003,0.000003,0.000004
221,0.000003,0.000005,0.000003
222,0.000003,0.000007,0.000004
223,0.000002,0.000004,0.000003
224,0.000003,0.000003,0.000004
225,0.000004,0.000002,0.000004
226,0.000002,0.000006,0.000004
227,0.000002,0.000004,0.000003
228,0.000003,0.000005,0.000004
229,0.000003,0.000006,0.000003
230,0.000003,0.000005,0.000003
231,0.000002,0.000005,0.000003
232,0.000003,0.000004,0.000004
233,0.000003,0.000003,0.000005
234,0.000004,0.000003,0.000005
235,0.000002,0.000003,0.000003
236,0.000003,0.000007,0.000003
237,0.000003,0.000003,0.000004
238,0.000002,0.000005,0.000003
239,0.000003,0.000005,0.000003
240,0.000003,0.000005,0.000004
241,0.000003,0.000005,0.000004
242,0.000003,0.000005,0.000004
243,0.000002,0.000006,0.000008
244,0.000003,0.000005,0.000003
245,0.000003,0.000003,0.000004
246,0.000003,0.000006,0.000003
247,0.000003,0.000007,0.000004
248,0.000003,0.000005,0.000003
249,0.000003,0.000007,0.000003
250,0.000003,0.000005,0.000004
251,0.000002,0.000005,0.000003
252,0.000003,0.000006,0.000004
253,0.000003,0.000003,0.000004
254,0.000002,0.000004,0.000003
255,0.000003,0.000005,0.000004
256,0.000003,0.000005,0.000003
257,0.000004,0.000005,0.000054
258,0.000003,0.000006,0.000003
259,0.000002,0.000005,0.000003
260,0.000003,0.000004,0.000004
261,0.000004,0.000003,0.000006
262,0.000002,0.000004,0.000003
263,0.000003,0.000006,0.000003
264,0.000002,0.000005,0.000003
265,0.000002,0.000007,0.000003
266,0.000004,0.000003,0.000004
267,0.000002,0.000005,0.000004
268,0.000006,0.000007,0.000006
269,0.000004,0.000008,0.000004
270,0.000003,0.000012,0.000005
271,0.000004,0.000007,0.000003
272,0.000003,0.000004,0.000004
273,0.000003,0.000003,0.000003
274,0.000002,0.000003,0.000003
275,0.000002,0.000005,0.000003
276,0.000003,0.000003,0.000003
277,0.000004,0.000003,0.000005
278,0.000003,0.000004,0.000004
279,0.000002,0.000005,0.000003
280,0.000004,0.000003,0.000005
281,0.000003,0.000005,0.000003
282,0.000003,0.000004,0.000003
283,0.000003,0.000003,0.000004
284,0.000003,0.000005,0.000004
285,0.000004,0.000003,0.000005
286,0.000003,0.000003,0.000004
287,0.000002,0.000006,0.000003
288,0.000003,0.000005,0.000003
289,0.000003,0.000004,0.000005
290,0.000003,0.000007,0.000005
291,0.000004,0.000006,0.000005
292,0.000003,0.000008,0.000004
293,0.000004,0.000010,0.000005
294,0.000004,0.000007,0.000005
295,0.000003,0.000006,0.000004
296,0.000003,0.000013,0.000004
297,0.000004,0.000009,0.000005
298,0.000005,0.000004,0.000006
299,0.000004,0.000014,0.000005
300,0.000004,0.000006,0.000006
301,0.000004,0.000007,0.000005
302,0.000005,0.000009,0.000005
303,0.000005,0.000005,0.000005
304,0.000003,0.000005,0.000004
305,0.000002,0.000009,0.000003
306,0.000002,0.000009,0.000003
307,0.000003,0.000003,0.000005
308,0.000003,0.000003,0.000005
309,0.000003,0.000009,0.000005
310,0.000004,0.000004,0.000005
311,0.000003,0.000014,0.000004
312,0.000004,0.000012,0.000006
313,0.000004,0.000006,0.000006
314,0.000004,0.000008,0.000004
315,0.000004,0.000010,0.000005
316,0.000004,0.000006,0.000004
317,0.000004,0.000014,0.000004
318,0.000004,0.000008,0.000004
319,0.000003,0.000011,0.000005
320,0.000004,0.000006,0.000005
321,0.000004,0.000009,0.000005
322,0.000005,0.000007,0.000006
323,0.000003,0.000011,0.000004
324,0.000005,0.000006,0.000007
325,0.000004,0.000017,0.000004
326,0.000005,0.000008,0.000005
327,0.000004,0.000008,0.000005
328,0.000004,0.000016,0.000004
329,0.000004,0.000010,0.000005
330,0.000004,0.000007,0.000005
331,0.000007,0.000005,0.000008
332,0.000003,0.000017,0.000005
333,0.000004,0.000018,0.000005
334,0.000004,0.000011,0.000005
335,0.000004,0.000006,0.000005
336,0.000006,0.000008,0.000007
337,0.000006,0.000005,0.000007
338,0.000005,0.000007,0.000006
339,0.000013,0.000014,0.000004
340,0.000007,0.000005,0.000008
341,0.000003,0.000011,0.000003
342,0.000004,0.000004,0.000005
343,0.000003,0.000011,0.000003
344,0.000004,0.000004,0.000004
345,0.000003,0.000010,0.000003
346,0.000003,0.000009,0.000003
347,0.000002,0.000009,0.000003
348,0.000003,0.000005,0.000004
349,0.000002,0.000006,0.000003
350,0.000002,0.000007,0.000004
351,0.000003,0.000004,0.000004
352,0.000003,0.000007,0.000004
353,0.000003,0.000007,0.000011
354,0.000002,0.000007,0.000003
355,0.000004,0.000004,0.000005
356,0.000003,0.000010,0.000003
357,0.000004,0.000004,0.000004
358,0.000003,0.000005,0.000008
359,0.000003,0.000008,0.000003
360,0.000004,0.000005,0.000005
361,0.000003,0.000005,0.000004
362,0.000002,0.000009,0.000003
363,0.000003,0.000007,0.000003
364,0.000003,0.000005,0.000004
365,0.000003,0.000004,0.000004
366,0.000003,0.000009,0.000003
367,0.000003,0.000005,0.000003
368,0.000003,0.000007,0.000004
369,0.000003,0.000006,0.000004
370,0.000003,0.000009,0.000004
371,0.000002,0.000009,0.000004
372,0.000003,0.000005,0.000003
373,0.000002,0.000008,0.000003
374,0.000003,0.000008,0.000004
375,0.000002,0.000005,0.000004
376,0.000003,0.000004,0.000003
377,0.000003,0.000007,0.000003
378,0.000002,0.000007,0.000004
379,0.000003,0.000005,0.000003
380,0.000002,0.000005,0.000003
381,0.000003,0.000005,0.000003
382,0.000004,0.000004,0.000005
383,0.000003,0.000003,0.000004
384,0.000004,0.000008,0.000006
385,0.000003,0.000005,0.000004
386,0.000003,0.000003,0.000004
387,0.000002,0.000004,0.000003
388,0.000003,0.000008,0.000003
389,0.000003,0.000005,0.000004
390,0.000003,0.000010,0.000004
391,0.000004,0.000003,0.000004
392,0.000002,0.000006,0.000003
393,0.000002,0.000006,0.000003
394,0.000003,0.000007,0.000003
395,0.000003,0.000005,0.000003
396,0.000004,0.000003,0.000006
397,0.000002,0.000010,0.000003
398,0.000003,0.000005,0.000003
399,0.000002,0.000004,0.000003
400,0.000002,0.000009,0.000003
401,0.000004,0.000003,0.000005
402,0.000003,0.000006,0.000003
403,0.000003,0.000007,0.000003
404,0.000004,0.000005,0.000005
405,0.000003,0.000006,0.000003
406,0.000003,0.000006,0.000004
407,0.000002,0.000010,0.000003
408,0.000002,0.000005,0.000003
409,0.000003,0.000006,0.000005
410,0.000018,0.000014,0.000004
411,0.000004,0.000016,0.000004
412,0.000004,0.000005,0.000004
413,0.000003,0.000009,0.000003
414,0.000003,0.000006,0.000003
415,0.000004,0.000004,0.000004
416,0.000003,0.000003,0.000005
417,0.000002,0.000012,0.000004
418,0.000003,0.000013,0.000004
419,0.000003,0.000009,0.000004
420,0.000003,0.000011,0.000003
421,0.000005,0.000003,0.000006
422,0.000003,0.000007,0.000004
423,0.000004,0.000003,0.000004
424,0.000003,0.000007,0.000004
425,0.000003,0.000005,0.000004
426,0.000003,0.000003,0.000004
427,0.000004,0.000002,0.000005
428,0.000003,0.000008,0.000003
429,0.000002,0.000009,0.000004
430,0.000003,0.000011,0.000004
431,0.000004,0.000007,0.000003
432,0.000003,0.000007,0.000003
433,0.000003,0.000005,0.000003
434,0.000002,0.000008,0.000003
435,0.000003,0.000012,0.000010
436,0.000004,0.000004,0.000004
437,0.000003,0.000003,0.000004
438,0.000003,0.000008,0.000004
439,0.000003,0.000009,0.000002
440,0.000003,0.000011,0.000003
441,0.000004,0.000006,0.000005
442,0.000002,0.000013,0.000004
443,0.000003,0.000012,0.000003
444,0.000003,0.000009,0.000004
445,0.000004,0.000003,0.000006
446,0.000003,0.000007,0.000003
447,0.000003,0.000006,0.000003
448,0.000003,0.000013,0.000004
449,0.000002,0.000010,0.000004
450,0.000003,0.000014,0.000004
451,0.000003,0.000012,0.000003
452,0.000005,0.000004,0.000004
453,0.000003,0.000006,0.000003
454,0.000003,0.000014,0.000003
455,0.000003,0.000007,0.000003
456,0.000003,0.000012,0.000003
457,0.000003,0.000013,0.000003
458,0.000003,0.000005,0.000005
459,0.000003,0.000008,0.000003
460,0.000004,0.000008,0.000005
461,0.000005,0.000011,0.000006
462,0.000004,0.000010,0.000004
463,0.000004,0.000005,0.000004
464,0.000003,0.000007,0.000004
465,0.000003,0.000013,0.000003
466,0.000003,0.000006,0.000004
467,0.000003,0.000005,0.000004
468,0.000002,0.000005,0.000004
469,0.000002,0.000005,0.000004
470,0.000004,0.000003,0.000005
471,0.000003,0.000003,0.000005
472,0.000003,0.000009,0.000004
473,0.000003,0.000004,0.000004
474,0.000004,0.000002,0.000004
475,0.000003,0.000003,0.000004
476,0.000002,0.000011,0.000004
477,0.000003,0.000007,0.000003
478,0.000002,0.000011,0.000003
479,0.000003,0.000006,0.000004
480,0.000004,0.000002,0.000005
481,0.000002,0.000012,0.000003
482,0.000003,0.000012,0.000003
483,0.000003,0.000007,0.000004
484,0.000003,0.000004,0.000004
485,0.000003,0.000003,0.000004
486,0.000003,0.000012,0.000010
487,0.000003,0.000011,0.000003
488,0.000003,0.000009,0.000003
489,0.000002,0.000009,0.000003
490,0.000004,0.000017,0.000003
491,0.000003,0.000010,0.000004
492,0.000003,0.000014,0.000003
493,0.000004,0.000003,0.000005
494,0.000002,0.000011,0.000004
495,0.000002,0.000008,0.000004
496,0.000004,0.000005,0.000005
497,0.000004,0.000004,0.000005
498,0.000003,0.000012,0.000004
499,0.000003,0.000003,0.000005
500,0.000004,0.000003,0.000004
501,0.000004,0.000003,0.000004
502,0.000003,0.000014,0.000003
503,0.000003,0.000009,0.000004
504,0.000002,0.000012,0.000003
505,0.000003,0.000012,0.000004
506,0.000002,0.000012,0.000003
507,0.000002,0.000013,0.000003
508,0.000003,0.000012,0.000004
509,0.000003,0.000008,0.000004
510,0.000002,0.000014,0.000003
511,0.000004,0.000004,0.000004
512,0.000004,0.000014,0.000004
513,0.000003,0.000009,0.000109
514,0.000004,0.000014,0.000004
515,0.000003,0.000014,0.000003
516,0.000002,0.000014,0.000004
517,0.000004,0.000006,0.000004
518,0.000004,0.000007,0.000004
519,0.000002,0.000008,0.000003
520,0.000002,0.000014,0.000003
521,0.000002,0.000014,0.000003
522,0.000002,0.000014,0.000003
523,0.000004,0.000005,0.000005
524,0.000003,0.000006,0.000004
525,0.000003,0.000005,0.000004
526,0.000003,0.000007,0.000003
527,0.000002,0.000011,0.000004
528,0.000004,0.000011,0.000004
529,0.000006,0.000003,0.000006
530,0.000003,0.000012,0.000004
531,0.000003,0.000012,0.000004
532,0.000006,0.000021,0.000006
533,0.000004,0.000011,0.000004
534,0.000003,0.000009,0.000004
535,0.000003,0.000008,0.000005
536,0.000004,0.000006,0.000004
537,0.000002,0.000006,0.000003
538,0.000002,0.000011,0.000003
539,0.000003,0.000005,0.000004
540,0.000003,0.000013,0.000004
541,0.000002,0.000009,0.000003
542,0.000003,0.000009,0.000003
543,0.000003,0.000013,0.000003
544,0.000005,0.000004,0.000005
545,0.000002,0.000015,0.000003
546,0.000003,0.000013,0.000002
547,0.000004,0.000005,0.000004
548,0.000002,0.000006,0.000004
549,0.000003,0.000014,0.000003
550,0.000003,0.000008,0.000003
551,0.000003,0.000004,0.000003
552,0.000003,0.000012,0.000004
553,0.000003,0.000012,0.000003
554,0.000002,0.000006,0.000003
555,0.000002,0.000008,0.000003
556,0.000002,0.000014,0.000003
557,0.000003,0.000005,0.000004
558,0.000002,0.000015,0.000004
559,0.000002,0.000013,0.000003
560,0.000003,0.000012,0.000004
561,0.000003,0.000010,0.000004
562,0.000003,0.000015,0.000003
563,0.000003,0.000015,0.000003
564,0.000002,0.000010,0.000004
565,0.000003,0.000008,0.000004
566,0.000003,0.000012,0.000003
567,0.000003,0.000015,0.000003
568,0.000003,0.000015,0.000002
569,0.000004,0.000007,0.000004
570,0.000003,0.000011,0.000003
571,0.000003,0.000009,0.000003
572,0.000003,0.000005,0.000004
573,0.000003,0.000004,0.000003
574,0.000003,0.000004,0.000003
575,0.000003,0.000009,0.000003
576,0.000002,0.000013,0.000003
577,0.000003,0.000007,0.000003
578,0.000003,0.000007,0.000004
579,0.000003,0.000014,0.000003
580,0.000005,0.000003,0.000006
581,0.000002,0.000012,0.000003
582,0.000004,0.000004,0.000005
583,0.000002,0.000015,0.000003
584,0.000004,0.000006,0.000005
585,0.000003,0.000004,0.000004
586,0.000004,0.000004,0.000004
587,0.000002,0.000004,0.000003
588,0.000002,0.000014,0.000003
589,0.000003,0.000012,0.000003
590,0.000003,0.000014,0.000003
591,0.000003,0.000015,0.000003
592,0.000004,0.000003,0.000005
593,0.000003,0.000009,0.000004
594,0.000002,0.000014,0.000003
595,0.000003,0.000004,0.000003
596,0.000002,0.000013,0.000004
597,0.000004,0.000004,0.000004
598,0.000003,0.000011,0.000004
599,0.000003,0.000004,0.000003
600,0.000003,0.000015,0.000003
601,0.000003,0.000012,0.000004
602,0.000003,0.000013,0.000003
603,0.000002,0.000016,0.000003
604,0.000004,0.000004,0.000005
605,0.000004,0.000003,0.000005
606,0.000003,0.000007,0.000004
607,0.000002,0.000015,0.000003
608,0.000003,0.000012,0.000003
609,0.000003,0.000015,0.000011
610,0.000004,0.000009,0.000004
611,0.000002,0.000015,0.000003
612,0.000004,0.000006,0.000004
613,0.000002,0.000015,0.000003
614,0.000003,0.000016,0.000003
615,0.000003,0.000004,0.000004
616,0.000003,0.000011,0.000003
617,0.000003,0.000011,0.000003
618,0.000002,0.000012,0.000003
619,0.000002,0.000014,0.000003
620,0.000003,0.000035,0.000006
621,0.000003,0.000016,0.000004
622,0.000003,0.000005,0.000003
623,0.000002,0.000013,0.000003
624,0.000002,0.000016,0.000003
625,0.000003,0.000010,0.000004
626,0.000002,0.000012,0.000003
627,0.000003,0.000017,0.000003
628,0.000004,0.000008,0.000004
629,0.000002,0.000015,0.000003
630,0.000003,0.000010,0.000004
631,0.000002,0.000014,0.000003
632,0.000003,0.000014,0.000003
633,0.000002,0.000014,0.000003
634,0.000003,0.000009,0.000004
635,0.000003,0.000007,0.000004
636,0.000003,0.000007,0.000004
637,0.000003,0.000016,0.000003
638,0.000003,0.000017,0.000003
639,0.000003,0.000014,0.000003
640,0.000002,0.000016,0.000003
641,0.000003,0.000009,0.000005
642,0.000005,0.000004,0.000005
643,0.000004,0.000005,0.000005
644,0.000003,0.000017,0.000003
645,0.000003,0.000014,0.000003
646,0.000004,0.000004,0.000005
647,0.000003,0.000011,0.000003
648,0.000002,0.000014,0.000004
649,0.000002,0.000013,0.000004
650,0.000003,0.000009,0.000004
651,0.000003,0.000008,0.000004
652,0.000004,0.000006,0.000005
653,0.000003,0.000014,0.000003
654,0.000003,0.000017,0.000003
655,0.000003,0.000012,0.000004
656,0.000003,0.000005,0.000004
657,0.000003,0.000014,0.000004
658,0.000002,0.000006,0.000003
659,0.000002,0.000012,0.000003
660,0.000002,0.000014,0.000004
661,0.000002,0.000009,0.000003
662,0.000002,0.000011,0.000003
663,0.000004,0.000004,0.000005
664,0.000003,0.000009,0.000003
665,0.000002,0.000017,0.000003
666,0.000014,0.000006,0.000004
667,0.000002,0.000013,0.000003
668,0.000003,0.000009,0.000004
669,0.000003,0.000013,0.000003
670,0.000002,0.000012,0.000003
671,0.000003,0.000011,0.000004
672,0.000002,0.000009,0.000003
673,0.000004,0.000004,0.000004
674,0.000002,0.000014,0.000003
675,0.000002,0.000018,0.000003
676,0.000003,0.000005,0.000004
677,0.000004,0.000002,0.000005
678,0.000002,0.000007,0.000003
679,0.000002,0.000017,0.000003
680,0.000004,0.000006,0.000004
681,0.000002,0.000014,0.000003
682,0.000003,0.000007,0.000004
683,0.000003,0.000017,0.000003
684,0.000005,0.000003,0.000005
685,0.000002,0.000007,0.000003
686,0.000004,0.000003,0.000005
687,0.000003,0.000018,0.000003
688,0.000003,0.000013,0.000003
689,0.000003,0.000010,0.000003
690,0.000003,0.000008,0.000004
691,0.000002,0.000021,0.000003
692,0.000003,0.000011,0.000005
693,0.000004,0.000007,0.000006
694,0.000006,0.000004,0.000008
695,0.000005,0.000004,0.000006
696,0.000004,0.000019,0.000005
697,0.000004,0.000022,0.000005
698,0.000005,0.000010,0.000006
699,0.000004,0.000016,0.000005
700,0.000003,0.000019,0.000004
701,0.000004,0.000006,0.000004
702,0.000002,0.000020,0.000003
703,0.000003,0.000011,0.000004
704,0.000003,0.000011,0.000004
705,0.000003,0.000009,0.000004
706,0.000004,0.000008,0.000004
707,0.000003,0.000012,0.000003
708,0.000002,0.000014,0.000004
709,0.000005,0.000003,0.000006
710,0.000003,0.000010,0.000003
711,0.000002,0.000015,0.000011
712,0.000002,0.000020,0.000004
713,0.000004,0.000011,0.000004
714,0.000003,0.000013,0.000004
715,0.000004,0.000017,0.000003
716,0.000002,0.000012,0.000003
717,0.000008,0.000011,0.000003
718,0.000003,0.000010,0.000004
719,0.000003,0.000006,0.000004
720,0.000003,0.000017,0.000004
721,0.000005,0.000003,0.000005
722,0.000004,0.000003,0.000005
723,0.000003,0.000018,0.000004
724,0.000003,0.000016,0.000004
725,0.000002,0.000017,0.000004
726,0.000003,0.000015,0.000003
727,0.000003,0.000010,0.000004
728,0.000004,0.000009,0.000005
729,0.000003,0.000018,0.000003
730,0.000003,0.000004,0.000005
731,0.000002,0.000020,0.000003
732,0.000003,0.000016,0.000004
733,0.000003,0.000011,0.000003
734,0.000003,0.000006,0.000004
735,0.000003,0.000010,0.000003
736,0.000003,0.000014,0.000004
737,0.000003,0.000013,0.000003
738,0.000003,0.000009,0.000005
739,0.000003,0.000010,0.000003
740,0.000003,0.000014,0.000004
741,0.000004,0.000014,0.000004
742,0.000004,0.000003,0.000010
743,0.000003,0.000018,0.000003
744,0.000003,0.000014,0.000004
745,0.000003,0.000013,0.000004
746,0.000003,0.000005,0.000005
747,0.000003,0.000007,0.000004
748,0.000003,0.000007,0.000004
749,0.000003,0.000008,0.000003
750,0.000003,0.000013,0.000005
751,0.000005,0.000010,0.000006
752,0.000004,0.000005,0.000004
753,0.000003,0.000007,0.000003
754,0.000003,0.000015,0.000003
755,0.000003,0.000012,0.000003
756,0.000002,0.000019,0.000003
757,0.000003,0.000011,0.000003
758,0.000003,0.000011,0.000004
759,0.000003,0.000009,0.000003
760,0.000002,0.000015,0.000003
761,0.000003,0.000019,0.000004
762,0.000004,0.000006,0.000004
763,0.000003,0.000020,0.000003
764,0.000003,0.000008,0.000004
765,0.000002,0.000020,0.000003
766,0.000003,0.000009,0.000004
767,0.000003,0.000004,0.000005
768,0.000003,0.000026,0.000004
769,0.000002,0.000021,0.000003
770,0.000003,0.000019,0.000003
771,0.000003,0.000005,0.000005
772,0.000002,0.000010,0.000003
773,0.000004,0.000003,0.000005
774,0.000002,0.000015,0.000003
775,0.000002,0.000012,0.000003
776,0.000003,0.000011,0.000004
777,0.000004,0.000011,0.000003
778,0.000003,0.000017,0.000003
779,0.000005,0.000003,0.000006
780,0.000003,0.000011,0.000003
781,0.000002,0.000009,0.000003
782,0.000003,0.000012,0.000004
783,0.000002,0.000015,0.000003
784,0.000003,0.000008,0.000004
785,0.000003,0.000009,0.000003
786,0.000002,0.000018,0.000003
787,0.000002,0.000017,0.000003
788,0.000002,0.000011,0.000004
789,0.000002,0.000011,0.000004
790,0.000003,0.000012,0.000003
791,0.000003,0.000015,0.000003
792,0.000003,0.000005,0.000005
793,0.000003,0.000016,0.000003
794,0.000007,0.000022,0.000003
795,0.000004,0.000004,0.000005
796,0.000003,0.000007,0.000003
797,0.000004,0.000030,0.000004
798,0.000004,0.000006,0.000005
799,0.000002,0.000022,0.000003
800,0.000003,0.000016,0.000004
801,0.000003,0.000012,0.000003
802,0.000004,0.000007,0.000004
803,0.000003,0.000009,0.000003
804,0.000003,0.000020,0.000003
805,0.000003,0.000010,0.000003
806,0.000005,0.000005,0.000005
807,0.000002,0.000008,0.000003
808,0.000003,0.000013,0.000004
809,0.000003,0.000007,0.000005
810,0.000003,0.000021,0.000003
811,0.000002,0.000019,0.000003
812,0.000003,0.000013,0.000004
813,0.000002,0.000019,0.000003
814,0.000002,0.000023,0.000010
815,0.000003,0.000008,0.000004
816,0.000003,0.000006,0.000005
817,0.000002,0.000018,0.000004
818,0.000002,0.000015,0.000003
819,0.000003,0.000025,0.000004
820,0.000003,0.000015,0.000004
